APSIM = 7.7
 Title     date      year    day      subsurface_drain     sum_subsurface_drain    leach_    sum_leach_        
  ()        (dd/mm/yyyy)        ()      ()         (mm)                   (mm)             (kg/ha)     (kg/ha)
P      01/05/2014      2014      121      12.343      12.3432993333333      0.002      0.001460314110816
P      05/05/2014      2014      125      9.404      21.7471413333333      0.001      0.00270749563704
P      09/05/2014      2014      129      3.121      24.868378      0      0.002922654704544
P      12/05/2014      2014      132      1.503      26.3709573333333      0      0.00302630633784
P      15/05/2014      2014      135      6.202      32.573214      0      0.00342808413192
P      21/05/2014      2014      141      20.49      53.0632246666667      0.02      0.022933719833616
P      23/05/2014      2014      143      9.751      62.8137766666667      0.001      0.024132134345328
P      27/05/2014      2014      147      6.719      69.533008      0      0.024625065714912
P      30/05/2014      2014      150      1.016      70.549262      0      0.02491872343848
P      02/06/2014      2014      153      0.113      70.6624613333333      0      0.02492370485568
P      05/06/2014      2014      156      1.861      72.5234346666667      0.001      0.026362045617264
P      09/06/2014      2014      160      3.294      75.817476      0.004      0.029864448254304
P      12/06/2014      2014      163      0.52      76.33716      0.001      0.030245393125728
P      16/06/2014      2014      167      0.003      76.3400386666667      ?      0.030245393125728
P      20/06/2014      2014      171      9.055      85.3948      0.003      0.033184034999856
P      24/06/2014      2014      175      11.193      96.5881566666667      0.001      0.033883341184656
P      27/06/2014      2014      178      16.773      113.361300666667      0.001      0.034723220843088
P      30/06/2014      2014      181      32.89      146.251676      0.002      0.036370136722464
P      02/07/2014      2014      183      31.574      177.825908      0.305      0.341110351936368
P      08/07/2014      2014      189      50.491      228.317298      0.005      0.344821609498464
P      10/07/2014      2014      191      3.224      231.540896666667      0.005      0.350247186814032
P      14/07/2014      2014      195      1.267      232.807933333333      0      0.350335304904672
P      21/07/2014      2014      202      0.062      232.869824666667      0      0.350337543362784
P      04/08/2014      2014      216      0      232.869824666667      ?      0.350337543362784
P      29/08/2014      2014      241      0      232.869824666667      ?      0.350337543362784
P      03/09/2014      2014      246      27.139      260.009301333333      0.001      0.35135675827992
P      10/09/2014      2014      253      13.992      274.001399333333      0.001      0.352057382950464
P      12/09/2014      2014      255      11.246      285.247588      0.001      0.35262051202728
P      16/09/2014      2014      259      7.987      293.234618      0      0.35302044563712
P      19/09/2014      2014      262      1.231      294.465417333333      0      0.353103896033856
P      24/09/2014      2014      267      0.194      294.659642666667      0      0.353109916129536
P      29/09/2014      2014      272      2.356      297.016085333333      0      0.353242578688704
P      02/10/2014      2014      275      5.421      302.437122666667      0      0.353514025650816
P      06/10/2014      2014      279      7.174      309.611606666667      0.001      0.354073122959328
P      10/10/2014      2014      283      1.047      310.658594666667      0      0.354125548665792
P      16/10/2014      2014      289      21.043      331.701732666667      0.008      0.362160120982464
P      21/10/2014      2014      294      6.97      338.671323333333      0.001      0.362962544623056
P      24/10/2014      2014      297      1.293      339.964437333333      0      0.363027294567648
P      29/10/2014      2014      302      2.137      342.101678      0      0.363202559902512
P      05/11/2014      2014      309      0.108      342.210051333333      0      0.363207185201376
P      11/11/2014      2014      315      0      342.210051333333      ?      0.363207185201376
