ApsimVersion = 7.4
Title	subsurface_drain	Date
()	(mm)	(dd/mm/yyyy)
P	0.169333334	27/04/2012
P	0.169333334	28/04/2012
P	0.169333334	29/04/2012
P	0.084666667	30/04/2012
P	0.254	1/5/2012
P	0.846666668	2/5/2012
P	1.608666667	3/5/2012
P	1.27	4/5/2012
P	0.846666668	5/5/2012
P	3.217333335	6/5/2012
P	4.148666668	7/5/2012
P	2.878666666	8/5/2012
P	1.862666668	9/5/2012
P	1.100666668	10/5/2012
P	0.592666667	11/5/2012
P	0.423333334	12/5/2012
P	0.084666667	13/05/2012
P	0	14/05/2012
P	0	15/05/2012
P	0	16/05/2012
P	0	17/05/2012
P	0	18/05/2012
P	0	19/05/2012
P	0	20/05/2012
P	0	21/05/2012
P	0	22/05/2012
P	0	23/05/2012
