ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     21/05/2009         5417.5         2687.4          177.0
     22/05/2009         5465.1         2693.2          186.6
     23/05/2009         5516.0         2699.4          191.1
     24/05/2009         5582.7         2712.9          202.4
     25/05/2009         5642.3         2719.6          214.0
     26/05/2009         5673.8         2720.1          215.8
     27/05/2009         5707.8         2723.5          221.0
     28/05/2009         5762.6         2730.9          232.3
     29/05/2009         5827.9         2739.6          244.9
     30/05/2009         5901.0         2751.4          258.5
     31/05/2009         5970.0         2763.7          272.8
     01/06/2009         6029.9         2770.4          286.4
     02/06/2009         6082.8         2778.6          293.1
     03/06/2009         6157.3         2795.9          308.9
     04/06/2009         6232.2         2811.7          325.7
     05/06/2009         6311.3         2828.1          343.9
     06/06/2009         6349.2         2829.6          355.7
     07/06/2009         6410.1         2838.0          371.7
     08/06/2009         6463.4         2850.0          386.2
     09/06/2009         6521.9         2866.0          405.7
     10/06/2009         6577.0         2876.6          426.4
     11/06/2009         6646.9         2892.0          448.5
     12/06/2009         6698.3         2901.2          469.3
     13/06/2009         6755.5         2914.2          487.2
     14/06/2009         6818.1         2929.9          512.1
     15/06/2009         6867.2         2938.6          538.5
     16/06/2009         6884.5         2935.7          566.5
     17/06/2009         6965.7         2954.9          596.0
     18/06/2009         7031.4         2972.6          618.1
     19/06/2009         7083.0         2985.2          645.6
     20/06/2009         7160.9         3009.3          675.2
     21/06/2009         7222.0         3026.9          701.9
     22/06/2009         7298.6         3052.1          737.0
     23/06/2009         7350.7         3067.3          764.6
     24/06/2009         7421.2         3090.4          794.5
     25/06/2009         7497.8         3116.9          832.2
     26/06/2009         7561.0         3138.0          871.1
     27/06/2009         7635.0         3163.9          911.3
     28/06/2009         7724.1         3196.9          952.9
     29/06/2009         7806.8         3227.5          995.9
     30/06/2009         7877.8         3254.3         1039.5
     01/07/2009         7941.4         3277.0         1083.9
     02/07/2009         8015.6         3304.3         1129.1
     03/07/2009         8056.1         3317.7         1175.3
     04/07/2009         8011.4         3297.0         1217.2
     05/07/2009         8028.7         3300.4         1227.1
     06/07/2009         8046.2         3304.4         1275.1
     07/07/2009         8063.6         3308.7         1321.9
     08/07/2009         8123.5         3330.6         1369.8
     09/07/2009         8128.8         3331.1         1420.8
     10/07/2009         8189.2         3353.8         1469.2
     11/07/2009         8258.0         3381.7         1522.0
     12/07/2009         8304.2         3400.2         1575.7
     13/07/2009         8374.6         3428.0         1629.5
     14/07/2009         8428.3         3450.1         1682.6
     15/07/2009         8496.1         3478.4         1736.6
     16/07/2009         8553.8         3506.3         1792.4
     17/07/2009         8599.3         3531.6         1846.0
     18/07/2009         8634.6         3547.0         1899.0
     19/07/2009         8688.7         3570.3         1952.4
     20/07/2009         8734.9         3588.7         2006.8
     21/07/2009         8775.1         3604.8         2060.2
     22/07/2009         8829.1         3626.5         2117.4
     23/07/2009         8878.1         3646.4         2176.0
     24/07/2009         8922.6         3665.0         2236.0
     25/07/2009         8965.3         3683.0         2297.2
     26/07/2009         9007.6         3701.3         2359.4
     27/07/2009         9043.9         3717.3         2422.7
     28/07/2009         9082.6         3734.6         2487.0
     29/07/2009         9120.0         3754.0         2551.3
     30/07/2009         9152.0         3770.5         2613.1
     31/07/2009         9186.0         3786.8         2677.3
     01/08/2009         9219.6         3805.8         2741.2
     02/08/2009         9248.4         3818.3         2805.5
     03/08/2009         9282.6         3833.7         2869.0
     04/08/2009         9312.5         3847.6         2936.0
     05/08/2009         9336.3         3861.0         3003.6
     06/08/2009         9355.6         3870.9         3071.8
     07/08/2009         9338.7         3865.8         3138.9
     08/08/2009         9354.9         3873.5         3209.2
     09/08/2009         9322.7         3862.6         3278.2
     10/08/2009         9346.8         3874.1         3348.1
     11/08/2009         9371.9         3888.3         3418.7
     12/08/2009         9389.7         3899.7         3490.1
     13/08/2009         9397.8         3907.1         3564.4
     14/08/2009         9422.8         3911.2         3621.0
     15/08/2009         9399.8         3907.3         3700.0
     16/08/2009         9407.3         3913.6         3775.1
     17/08/2009         9437.1         3911.6         3819.4
     18/08/2009         9502.6         3900.9         3833.7
     19/08/2009         9479.7         3907.0         3932.2
     20/08/2009         9467.4         3916.7         4026.2
     21/08/2009         9438.0         3923.6         4116.5
     22/08/2009         9478.7         3924.2         4135.7
     23/08/2009         9526.5         3906.6         4148.1
     24/08/2009         9600.8         3895.5         4161.8
     25/08/2009         9518.6         3889.1         4287.7
     26/08/2009         9396.7         3862.9         4403.1
     27/08/2009         9286.8         3842.3         4476.4
     28/08/2009         9274.6         3852.1         4551.5
     29/08/2009         9271.6         3872.2         4649.7
     30/08/2009         9251.9         3886.6         4738.9
     31/08/2009         9237.9         3897.4         4820.9
     01/09/2009         9228.1         3907.6         4897.8
     02/09/2009         9243.0         3911.7         4947.3
     03/09/2009         9291.7         3907.6         4963.0
     04/09/2009         9342.5         3897.4         4976.0
     05/09/2009         9402.2         3883.5         4989.6
     06/09/2009         9473.5         3875.2         5002.5
     07/09/2009         9541.6         3868.0         5015.8
     08/09/2009         9583.9         3864.6         5053.0
     09/09/2009         9637.3         3844.7         5067.4
     10/09/2009         9697.4         3826.5         5081.9
     11/09/2009         9754.1         3819.0         5105.7
     12/09/2009         9809.0         3799.8         5120.4
     13/09/2009         9870.3         3781.8         5135.2
     14/09/2009         9923.3         3779.9         5162.1
     15/09/2009         9957.4         3773.1         5195.5
     16/09/2009        10002.5         3749.5         5210.4
     17/09/2009        10062.8         3734.5         5224.1
     18/09/2009        10121.6         3716.8         5238.6
     19/09/2009        10171.8         3696.8         5252.7
     20/09/2009         9825.8         3694.4         5650.5
     21/09/2009         9490.3         3673.6         5985.4
     22/09/2009         9268.1         3676.3         6253.2
     23/09/2009         9072.8         3677.5         6500.0
     24/09/2009         8894.7         3668.1         6703.5
     25/09/2009         8779.9         3674.0         6891.1
     26/09/2009         8681.2         3682.2         7055.8
     27/09/2009         8597.9         3684.9         7202.8
     28/09/2009         8527.4         3696.4         7334.1
     29/09/2009         8537.6         3696.3         7368.0
     30/09/2009         8570.2         3691.2         7376.9
     01/10/2009         8443.0         3677.7         7500.3
     02/10/2009         8348.3         3674.2         7594.8
     03/10/2009         8287.7         3678.7         7689.1
     04/10/2009         8240.7         3685.7         7770.3
     05/10/2009         8203.2         3690.0         7841.5
     06/10/2009         8176.2         3691.6         7905.8
     07/10/2009         8156.9         3701.5         7963.4
     08/10/2009         8106.1         3693.7         8016.8
     09/10/2009         8063.4         3689.7         8053.8
     10/10/2009          953.9         3689.7         8046.9
     11/10/2009          953.9         3689.7         8046.7
     12/10/2009          953.9         3689.7         1586.9
     13/10/2009          954.0         3689.7         1583.9
     14/10/2009          954.0         3689.7         1582.6
     15/10/2009          952.6         3688.9         1576.6
     16/10/2009          952.4         3687.4         1569.4
     17/10/2009          955.3         3687.4         1563.3
     18/10/2009          955.6         3687.4         1560.1
     19/10/2009          953.3         3683.0         1551.7
     20/10/2009          952.6         3669.3         1549.8
     21/10/2009          947.5         3654.9         1547.9
     22/10/2009          941.8         3639.3         1528.4
     23/10/2009          940.6         3637.4         1520.7
     24/10/2009          941.1         3637.4         1518.2
     25/10/2009          939.9         3636.8         1512.2
     26/10/2009          937.9         3632.6         1500.3
     27/10/2009          937.6         3630.7         1492.8
     28/10/2009          936.5         3629.1         1485.9
     29/10/2009          933.1         3619.5         1475.9
     30/10/2009          929.3         3608.6         1455.4
     31/10/2009          928.3         3600.1         1445.7
     01/11/2009          930.9         3599.1         1439.6
     02/11/2009          929.1         3591.0         1431.8
     03/11/2009          929.1         3587.4         1423.7
     04/11/2009          929.1         3587.4         1422.6
     05/11/2009          928.3         3586.6         1417.8
     06/11/2009          927.6         3585.9         1413.2
     07/11/2009          923.4         3572.4         1409.1
