ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
PF	16/09/2008	0.198736806	0.274121875	0.331636458	0.308818229	0.318235938	17.31666667	17.18072917	17.38177083	17.49895833	17.90885417	0.049833138	0.014604009	0.014612533	0.018878128	0.018054597	0.030830518	0.101971222	0.103198189	0.07273539	0.126084345
PF	17/09/2008	0.17981875	0.268693229	0.329977604	0.307433333	0.315809375	18.88888889	18.41302083	18.18958333	17.69010417	17.82447917	0.045332318	0.015538192	0.014535531	0.018458184	0.018448158	0.122500079	0.134836833	0.106263616	0.060753223	0.121294543
PF	18/09/2008	0.162761111	0.262003646	0.3278625	0.307133333	0.315276563	19.54444444	19.18645833	18.95572917	18.17395833	18.05520833	0.040693323	0.016537431	0.014467411	0.01854084	0.018923652	0.08610271	0.130460866	0.109533202	0.076103476	0.119207513
PF	19/09/2008	0.14939375	0.254227604	0.322851042	0.305684896	0.314658854	19.58680556	19.2703125	19.13177083	18.42291667	18.27135417	0.036756163	0.016858438	0.013908792	0.018316934	0.019293264	0.044117723	0.111334546	0.101783058	0.070166386	0.114309569
PF	20/09/2008	0.13965	0.246147396	0.316832292	0.303532292	0.313694792	19.31319444	19.03697917	19.01145833	18.4578125	18.36354167	0.0344213	0.016714486	0.013481956	0.017830943	0.019519279	0.105198592	0.145439386	0.127720681	0.061386935	0.114685876
PF	21/09/2008	0.133302778	0.23969375	0.311278646	0.301516667	0.312403646	19.00347222	18.834375	18.8984375	18.43958333	18.37135417	0.033200697	0.016563738	0.013170296	0.017588745	0.019724312	0.08467952	0.120697062	0.122614314	0.070439058	0.120198208
PF	22/09/2008	0.13049375	0.235696875	0.308013021	0.300199479	0.31135625	18.71875	18.64479167	18.79739583	18.40729167	18.35208333	0.032944031	0.01633284	0.013197525	0.017508716	0.019895193	0.087969968	0.080689394	0.096346659	0.069558067	0.11295561
PF	23/09/2008	0.156283333	0.246869271	0.315032292	0.304750521	0.314009896	19.90208333	19.46875	19.18489583	18.40677083	18.29270833	0.03886199	0.015734923	0.013816207	0.018444893	0.019653456	0.157016638	0.069747602	0.063949483	0.067106702	0.082795574
PF	24/09/2008	0.262759028	0.302946354	0.354647396	0.320325521	0.326583854	19.85972222	19.57447917	19.4359375	18.715625	18.44270833	0.060026304	0.012573718	0.016421134	0.019812668	0.018968624	0.134781273	0.113145572	0.086654208	0.063955845	0.059999156
PF	25/09/2008	0.232721528	0.288815104	0.342928125	0.313663542	0.320919271	18.97569444	18.8390625	18.9421875	18.5765625	18.44322917	0.054657596	0.014060203	0.014811587	0.018718224	0.019432396	0.127210395	0.089005627	0.102611217	0.056104332	0.065292782
PF	26/09/2008	0.21200625	0.281403125	0.338818229	0.311041667	0.318376042	19.75486111	19.45416667	19.29270833	18.60520833	18.39947917	0.051016342	0.014717978	0.014456786	0.018356982	0.019675556	0.177431575	0.072533717	0.081421205	0.055293435	0.072863944
PF	27/09/2008	0.189810417	0.273033333	0.334259896	0.309688542	0.316882813	19.55277778	19.33125	19.27760417	18.696875	18.471875	0.04716419	0.015791689	0.014302187	0.018407432	0.019868703	0.105274205	0.077275474	0.079154673	0.049450833	0.072894342
PF	28/09/2008	0.172491667	0.263321354	0.328486458	0.308965104	0.315611979	17.97777778	18.21510417	18.65520833	18.5484375	18.44791667	0.043289947	0.016070621	0.014253041	0.019160787	0.019978406	0.15149875	0.091943926	0.096080222	0.060711535	0.075905986
PF	29/09/2008	0.251995833	0.294230208	0.342252604	0.309793229	0.313751042	17.80763889	17.83802083	18.109375	18.05885417	18.14322917	0.058209891	0.014868797	0.014470995	0.018716476	0.020159451	0.028875865	0.103082465	0.084542016	0.062490595	0.092403036
PF	30/09/2008	0.220106944	0.281205208	0.331870833	0.306943229	0.311401563	15.44305556	15.89791667	16.75989583	17.42552083	17.77239583	0.051283156	0.0149068	0.014191715	0.019270353	0.019888206	0.195509237	0.133904484	0.13465699	0.068032743	0.107109051
PF	1/10/2008	0.201349306	0.272572396	0.324715104	0.302858854	0.308313542	14.82777778	15.24166667	15.99895833	16.67760417	17.178125	0.047739988	0.01532064	0.013789843	0.019177937	0.019669048	0.171481381	0.124588443	0.125670942	0.068930608	0.126110518
PF	2/10/2008	0.18395	0.263391146	0.31710625	0.29629375	0.305122917	13.74166667	14.06145833	14.90364583	15.8625	16.57760417	0.044513333	0.015352887	0.013226729	0.017281684	0.019477875	0.176498216	0.157206563	0.15852824	0.074956585	0.144618889
PF	3/10/2008	0.171347917	0.258247396	0.313613542	0.292923958	0.302299479	14.31180556	14.359375	14.86510417	15.43697917	16.05729167	0.041147809	0.015611486	0.012937431	0.016575074	0.019278315	0.113424272	0.146463174	0.148707722	0.059197316	0.154573178
PF	4/10/2008	0.15705	0.251253646	0.309488542	0.290453646	0.300263542	14.14861111	14.19427083	14.6953125	15.209375	15.76614583	0.037416551	0.015722119	0.012667358	0.016127199	0.019342614	0.137990148	0.146899316	0.148369258	0.0601196	0.152476127
PF	5/10/2008	0.150676389	0.249946354	0.30894375	0.289644792	0.298781771	16.35138889	15.81666667	15.60729167	15.340625	15.64479167	0.03504463	0.016085162	0.012509194	0.015868449	0.019317862	0.117287123	0.094591134	0.081992247	0.060245807	0.147098923
PF	6/10/2008	0.155763194	0.250739583	0.311061458	0.291667188	0.299924479	17.98125	17.39791667	16.96875	16.11302083	15.98958333	0.035443446	0.016548802	0.012214474	0.016109581	0.019794007	0.125283244	0.100328598	0.085319219	0.058768066	0.109907763
PF	7/10/2008	0.290619444	0.31594375	0.359080208	0.325959896	0.330011458	16.13055556	16.47447917	16.8953125	16.640625	16.4515625	0.061032727	0.012261658	0.016300986	0.019934277	0.016710162	0.250142706	0.120513751	0.124885292	0.043322147	0.093955696
PF	8/10/2008	0.248151389	0.292105208	0.339878125	0.3090625	0.320397396	13.95138889	14.22395833	14.90572917	15.6828125	16.15416667	0.053615724	0.012642409	0.013791563	0.017816001	0.01668703	0.211836291	0.125780262	0.151230426	0.06061614	0.142367039
PF	9/10/2008	0.226476389	0.281434896	0.331789063	0.303151042	0.313897917	13.87986111	14.06770833	14.6171875	15.17395833	15.67083333	0.051600111	0.014217378	0.013212228	0.016938334	0.017250729	0.155625294	0.12453182	0.133464494	0.049340999	0.162502226
PF	10/10/2008	0.204983333	0.273205729	0.326451563	0.299236979	0.309927604	13.97847222	14.0078125	14.3859375	14.8421875	15.3328125	0.049053651	0.014274855	0.013148052	0.016645029	0.017610653	0.135017217	0.071672798	0.092914389	0.051905077	0.162008192
PF	11/10/2008	0.154224324	0.2351	0.321551351	0.316248649	0.280762162	15.71351351	15.11891892	14.75405405	14.83513514	15.09189189	?	?	?	?	?	?	?	?	?	?
PF	13/11/2008	0.31378	0.30422	0.31559	0.27289	0.27599	7.95	7.49	7.34	7.4	8.46	0.06362	0.00746	0.03149	0.04129	0.00625	0.31	0.01	0	0.08	0.54
PF	14/11/2008	0.295883333	0.289666667	0.328129167	0.284914583	0.291610417	7.429166667	7.460416667	7.629166667	7.8875	8.479166667	0.035106717	0.012325624	0.013545203	0.019265334	0.015213705	0.183506862	0.101057774	0.130415114	0.060905589	0.238884851
PF	15/11/2008	0.27309375	0.278564583	0.320675	0.282575	0.2920625	4.8375	5.56875	6.58125	7.739583333	8.566666667	0.032091466	0.012226744	0.012767627	0.018315494	0.015104536	0.277649276	0.178061027	0.174780782	0.086827775	0.242049505
PF	16/11/2008	0.254229167	0.267375	0.31058125	0.27565625	0.287172917	3.608333333	4.2	5.264583333	6.883333333	8.102083333	0.030160367	0.012582808	0.012228917	0.018042024	0.015461578	0.292320695	0.204350824	0.1936006	0.115720369	0.28040511
PF	17/11/2008	0.246810417	0.26305625	0.306577083	0.27233125	0.283466667	3.10625	3.758333333	4.820833333	6.358333333	7.595833333	0.029526634	0.012730553	0.012113308	0.017805855	0.01557561	0.289223397	0.213437475	0.198154097	0.118096398	0.293299004
PF	18/11/2008	0.2307125	0.2572875	0.30151875	0.269010417	0.28044375	1.591666667	2.44375	3.802083333	5.74375	7.139583333	0.03186671	0.013035953	0.012104588	0.017799822	0.015668545	0.344752327	0.273552059	0.233516173	0.121686404	0.306420021
PF	19/11/2008	0.228629167	0.255416667	0.299095833	0.2660375	0.277435417	2.397916667	2.7375	3.529166667	5.110416667	6.570833333	0.031141308	0.01332284	0.011881355	0.017825424	0.015586789	0.250078113	0.211708767	0.209648626	0.119430312	0.32085137
PF	20/11/2008	0.2267625	0.252914583	0.2975125	0.265108333	0.275570833	1.96875	2.5875	3.59375	5.066666667	6.335416667	0.029938872	0.013311247	0.011838534	0.017855745	0.015634993	0.269330768	0.230651754	0.213826876	0.099477803	0.310435309
PF	21/11/2008	0.176783333	0.24738125	0.293441667	0.26279375	0.273758333	0.59375	1.389583333	2.6625	4.56875	5.997916667	0.041981663	0.013965559	0.011671636	0.017934957	0.015785884	0.379698574	0.287255834	0.248362694	0.11295561	0.325789195
