ApsimVersion = 7.4
Title	Date	sw_5	sw_10	sw_15	sw_35	sw_75	st_5	st_10	st_15	st_35	st_75	sw_5Error	sw_10Error	sw_15Error	sw_35Error	sw_75Error	st_5Error	st_10Error	st_15Error	st_35Error	st_75Error
()	(dd/mm/yyyy)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)	(mm)	(mm)	(mm)	(mm)	(mm)	(°C)	(°C)	(°C)	(°C)	(°C)
P	16/11/2008	0.2568625	0.269779167	0.26086875	0.281002083	0.259183333	3.291666667	4.022916667	5.058333333	7.216666667	8.31875	0.025649945	0.024891509	0.017909907	0.025335968	0.040746001	0.234718113	0.24474512	0.251890996	0.442543679	0.368105998
P	17/11/2008	0.24910625	0.26499375	0.255589583	0.277345833	0.255497917	2.658333333	3.483333333	4.572916667	6.679166667	7.820833333	0.024934567	0.025350209	0.018046798	0.024623152	0.039789242	0.279363529	0.276908362	0.264276944	0.437380936	0.376962458
P	18/11/2008	0.234047917	0.259	0.25023125	0.2740125	0.25268125	1.277083333	2.235416667	3.5375	6.014583333	7.333333333	0.022927309	0.02520721	0.017902883	0.024327837	0.039273149	0.256949137	0.218829351	0.31638328	0.485512032	0.395869881
P	19/11/2008	0.230372917	0.256814583	0.247629167	0.271091667	0.250329167	2.04375	2.552083333	3.341666667	5.416666667	6.752083333	0.022628984	0.02568732	0.017940959	0.023917911	0.038957986	0.207453001	0.204446379	0.268289334	0.491819656	0.420625292
P	20/11/2008	0.228191667	0.254172917	0.245691667	0.270120833	0.249122917	1.55625	2.333333333	3.335416667	5.364583333	6.5375	0.022723037	0.025913916	0.018205721	0.023698851	0.038694295	0.227719547	0.201642561	0.291991387	0.4619225	0.405752901
P	21/11/2008	0.156664583	0.248547917	0.242483333	0.268247917	0.247466667	0.295833333	1.233333333	2.44375	4.870833333	6.185416667	0.021603097	0.02417041	0.017968692	0.02322095	0.038186353	0.24507888	0.200433558	0.309651368	0.515652005	0.422492261
P	22/11/2008	0.1179625	0.240179167	0.239610417	0.26635625	0.245625	0.189583333	0.9375	1.99375	4.341666667	5.71875	0.0169607	0.02500399	0.018125907	0.022803749	0.037802455	0.183660535	0.182209307	0.277375577	0.514477891	0.433632042
P	23/11/2008	0.151510417	0.2379	0.2374125	0.264852083	0.244008333	0.366666667	1.008333333	1.9125	4.066666667	5.383333333	0.021291163	0.025246506	0.018401939	0.022626458	0.03772099	0.182637569	0.169660609	0.265285049	0.498876052	0.430371825
P	24/11/2008	0.213641667	0.240035417	0.236820833	0.263910417	0.242885417	1.06875	1.489583333	2.1625	3.979166667	5.172916667	0.015403289	0.025543484	0.018573537	0.022637091	0.037658722	0.235293724	0.18690879	0.267997979	0.475773006	0.420212344
P	25/11/2008	0.20560625	0.241797917	0.236920833	0.263908333	0.242464583	0.975	1.55	2.316666667	4.08125	5.1375	0.01251377	0.024656247	0.018312129	0.022766238	0.037645897	0.210186205	0.153696731	0.280066956	0.467414765	0.42000744
P	26/11/2008	0.198358333	0.2405375	0.236389583	0.263360417	0.241991667	0.827083333	1.397916667	2.170833333	3.9875	5.058333333	0.014361102	0.024174598	0.018091206	0.022618056	0.037490083	0.219225673	0.158456641	0.268580373	0.474835498	0.41350187
P	27/11/2008	0.198858333	0.241454167	0.235829167	0.26296875	0.241529167	0.895833333	1.420833333	2.15625	3.895833333	4.941666667	0.014100241	0.024044607	0.018057892	0.022587083	0.037334331	0.205944639	0.157140978	0.258699897	0.463786998	0.414284859
P	28/11/2008	0.1988125	0.241866667	0.235454167	0.262510417	0.2410875	0.979166667	1.479166667	2.16875	3.847916667	4.860416667	0.013911649	0.023828778	0.017910351	0.022419614	0.037346955	0.202201426	0.164341419	0.24625376	0.454878074	0.406833626
P	29/11/2008	0.194904167	0.24090625	0.234720833	0.26235	0.2407125	0.716666667	1.289583333	2.060416667	3.785416667	4.777083333	0.014344695	0.023685696	0.017882249	0.022368289	0.037095195	0.184748327	0.1442724	0.250170659	0.444115004	0.400525913
P	30/11/2008	0.21563125	0.241235417	0.23455	0.2618375	0.240189583	0.972916667	1.425	2.070833333	3.70625	4.689583333	0.017756047	0.024004238	0.017831248	0.022412352	0.037251523	0.166297334	0.155493539	0.233989652	0.450351907	0.397421886
P	1/4/2009	0.2130125	0.233054167	0.232502083	0.270789583	0.252354167	5.595833333	5.2375	5.297916667	5.672916667	5.775	0.021956667	0.024336025	0.014075798	0.024887999	0.037513783	0.17288738	0.111518351	0.167924938	0.258140049	0.334182945
P	2/4/2009	0.20856875	0.231416667	0.232170833	0.270704167	0.251514583	5.716666667	5.654166667	5.852083333	5.922916667	5.783333333	0.022258801	0.024633099	0.014462246	0.025008406	0.03742641	0.238144836	0.146822045	0.180064771	0.214367475	0.339133564
