ApsimVersion = 7.6
Title = PFnew soilco2
           Date  soil_root_co2
   (dd/mm/yyyy)             ()
     11/05/2010          9.016
     12/05/2010          9.496
     13/05/2010          9.780
     14/05/2010          7.132
     15/05/2010          9.708
     16/05/2010         12.100
     17/05/2010         14.780
     18/05/2010         15.261
     19/05/2010         16.350
     20/05/2010         14.700
     21/05/2010         15.369
     22/05/2010         15.270
     23/05/2010         19.948
     24/05/2010         23.472
     25/05/2010         25.706
     26/05/2010         23.300
     27/05/2010         25.129
     28/05/2010         24.739
     29/05/2010         24.352
     30/05/2010         24.314
     31/05/2010         25.089
     01/06/2010         27.370
     02/06/2010         27.162
     03/06/2010         30.746
     04/06/2010         29.498
     05/06/2010         28.949
     06/06/2010         31.541
     07/06/2010         29.792
     08/06/2010         29.051
     09/06/2010         29.974
     10/06/2010         34.380
     11/06/2010         29.120
     12/06/2010         28.949
     13/06/2010         28.603
     14/06/2010         30.390
     15/06/2010         27.298
     16/06/2010         26.700
     17/06/2010         27.128
     18/06/2010         27.758
     19/06/2010         29.687
     20/06/2010         27.765
     21/06/2010         28.037
     22/06/2010         28.196
     23/06/2010         33.580
     24/06/2010         38.497
     25/06/2010         36.522
     26/06/2010         35.959
     27/06/2010         37.362
     28/06/2010         37.459
     29/06/2010         34.914
     30/06/2010         34.402
     01/07/2010         34.001
     02/07/2010         34.446
     03/07/2010         34.830
     04/07/2010         34.568
     05/07/2010         36.518
     06/07/2010         37.614
     07/07/2010         39.713
     08/07/2010         39.291
     09/07/2010         37.159
     10/07/2010         37.209
     11/07/2010         37.691
     12/07/2010         36.811
     13/07/2010         37.888
     14/07/2010         38.058
     15/07/2010         36.170
     16/07/2010         43.141
     17/07/2010         39.810
     18/07/2010         39.605
     19/07/2010         42.090
     20/07/2010         39.319
     21/07/2010         36.286
     22/07/2010         36.223
     23/07/2010         37.947
     24/07/2010         41.406
     25/07/2010         41.524
     26/07/2010         37.263
     27/07/2010         37.882
     28/07/2010         39.906
     29/07/2010         43.048
     30/07/2010         38.553
     31/07/2010         37.264
     01/08/2010         39.457
     02/08/2010         38.888
     03/08/2010         39.439
     04/08/2010         39.441
     05/08/2010         40.526
     06/08/2010         40.572
     07/08/2010         36.279
     08/08/2010         37.648
     09/08/2010         39.420
     10/08/2010         40.609
     11/08/2010         38.134
     12/08/2010         39.120
     13/08/2010         40.508
     14/08/2010         43.989
     15/08/2010         43.749
     16/08/2010         42.928
     17/08/2010         39.619
     18/08/2010         39.903
     19/08/2010         37.170
     20/08/2010         43.110
     21/08/2010         39.830
     22/08/2010         40.390
     23/08/2010         42.437
     24/08/2010         42.948
     25/08/2010         41.859
     26/08/2010         38.851
     27/08/2010         36.373
     28/08/2010         36.428
     29/08/2010         38.090
     30/08/2010         37.687
     31/08/2010         38.735
     01/09/2010         39.992
     02/09/2010         40.458
     03/09/2010         40.112
     04/09/2010         35.088
     05/09/2010         31.284
     06/09/2010         30.890
     07/09/2010         35.441
     08/09/2010         36.999
     09/09/2010         31.943
     10/09/2010         31.037
     11/09/2010         34.796
     12/09/2010         34.157
     13/09/2010         33.049
     14/09/2010         35.754
     15/09/2010         35.886
     16/09/2010         34.542
     17/09/2010         35.525
     18/09/2010         27.077
     19/09/2010         32.496
     20/09/2010         14.080
     21/09/2010         24.295
     22/09/2010         36.261
     23/09/2010         12.896
     24/09/2010         36.869
     25/09/2010         37.040
     26/09/2010         33.242
     27/09/2010         19.625
     28/09/2010         25.481
     29/09/2010         23.928
     30/09/2010         28.556
     01/10/2010         31.706
     02/10/2010         29.030
     03/10/2010         28.229
     04/10/2010         15.781
