ApsimVersion = 7.6
Title = Pnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     12/03/2009         1118.9         3062.6          373.1
     13/03/2009         1118.9         3062.6          373.1
     14/03/2009         1118.9         3062.6          372.4
     15/03/2009         1117.8         3059.2          370.3
     16/03/2009         1120.9         3050.1          365.7
     17/03/2009         1143.5         3040.1          361.6
     18/03/2009         1161.7         3036.1          360.3
     19/03/2009         1161.7         3036.1          359.5
     20/03/2009         1160.6         3034.0          359.0
     21/03/2009         1165.7         3025.6          357.6
     22/03/2009         1182.3         3014.9          355.5
     23/03/2009         1181.4         3001.8          344.8
     24/03/2009         1185.0         2999.7          343.1
     25/03/2009         1185.3         2999.7          341.6
     26/03/2009         1185.3         2999.7          341.3
     27/03/2009         1185.3         2999.7          341.3
     28/03/2009         1185.3         2999.7          341.3
     29/03/2009         1185.3         2999.7          340.9
     30/03/2009         1184.4         2997.0          339.8
     31/03/2009         1184.5         2997.0          338.8
     01/04/2009         1184.5         2997.0          337.8
     02/04/2009         1184.5         2997.0          337.3
     03/04/2009         1184.5         2997.0          336.5
     04/04/2009         1189.9         2992.0          333.1
     05/04/2009         1189.9         2992.0          332.9
     06/04/2009         1189.9         2992.0          332.9
     07/04/2009         1189.9         2992.0          332.9
     08/04/2009         1189.0         2990.7          331.9
     09/04/2009         1189.0         2990.7          330.7
     10/04/2009         1189.5         2988.5          329.7
     11/04/2009         1189.0         2984.8          328.7
     12/04/2009         1196.2         2981.9          328.1
     13/04/2009         1204.2         2981.0          327.4
     14/04/2009         1230.3         2975.0          326.1
     15/04/2009         1242.0         2967.8          325.2
     16/04/2009         1265.6         2955.4          324.1
     17/04/2009         1326.6         2942.8          324.5
     18/04/2009         1330.7         2930.8          323.4
     19/04/2009         1359.6         2932.5          324.1
     20/04/2009         1386.0         2936.9          324.9
     21/04/2009         1423.7         2941.3          326.2
     22/04/2009         1481.5         2944.2          329.4
     23/04/2009         1526.3         2937.4          334.4
     24/04/2009         1583.8         2932.6          340.2
     25/04/2009         1598.6         2928.0          333.0
     26/04/2009         1602.2         2914.6          319.0
     27/04/2009         1640.5         2919.8          316.3
     28/04/2009         1710.7         2932.2          313.8
     29/04/2009         1712.6         2924.2          307.6
     30/04/2009         1730.8         2917.9          299.1
     01/05/2009         1801.9         2928.4          295.4
     02/05/2009         1907.0         2945.3          291.4
     03/05/2009         2012.7         2959.3          286.1
     04/05/2009         2075.0         2961.1          280.4
     05/05/2009         2169.6         2968.3          268.2
     06/05/2009         2206.9         2962.4          257.9
     07/05/2009         2279.5         2965.0          248.5
     08/05/2009         2376.1         2973.0          240.1
     09/05/2009         2529.6         2999.1          238.2
     10/05/2009         2665.2         3020.9          236.9
     11/05/2009         2852.6         3052.7          235.7
     12/05/2009         2950.6         3058.0          228.6
     13/05/2009         3024.1         3057.3          221.9
     14/05/2009         3223.2         3088.0          220.0
     15/05/2009         3229.5         3081.8          217.2
     16/05/2009         3403.0         3149.7          216.7
     17/05/2009         3511.8         3192.1          216.4
     18/05/2009         3716.5         3263.8          210.4
     19/05/2009         3921.2         3329.9          202.8
     20/05/2009         4127.9         3395.3          197.7
     21/05/2009         4288.0         3440.6          194.9
     22/05/2009         4427.5         3477.5          193.8
     23/05/2009         4543.5         3502.6          187.3
     24/05/2009         4741.1         3561.0          183.1
     25/05/2009         4892.5         3580.7          181.7
     26/05/2009         4932.1         3574.6          182.0
     27/05/2009         4998.9         3580.6          183.9
     28/05/2009         5203.0         3621.3          183.8
     29/05/2009         5434.3         3666.6          182.9
     30/05/2009         5682.4         3717.2          183.3
     31/05/2009         5752.6         3714.1          195.0
