ApsimVersion = 7.6
Title = PFnew agwt
           Date  AboveGroundWt  BelowGroundWt   surfaceom_wt
   (dd/mm/yyyy)        (kg/ha)        (kg/ha)        (kg/ha)
     30/04/2009         2303.4         1990.7          183.1
     01/05/2009         2443.0         2004.1          182.1
     02/05/2009         2625.8         2037.9          181.0
     03/05/2009         2816.7         2072.2          179.1
     04/05/2009         2945.7         2091.7          176.9
     05/05/2009         3121.6         2121.0          171.8
     06/05/2009         3207.0         2130.0          167.8
     07/05/2009         3344.0         2151.5          164.3
     08/05/2009         3510.8         2180.6          161.4
     09/05/2009         3727.1         2227.6          162.0
     10/05/2009         3902.7         2277.1          162.8
     11/05/2009         4117.1         2340.4          163.6
     12/05/2009         4240.2         2369.8          161.2
     13/05/2009         4332.1         2389.1          159.0
     14/05/2009         4545.3         2454.8          159.6
     15/05/2009         4558.3         2451.2          159.7
     16/05/2009         4764.9         2519.1          161.1
     17/05/2009         4897.3         2562.3          162.5
     18/05/2009         5145.6         2638.2          160.4
     19/05/2009         5323.3         2685.2          157.5
     20/05/2009         5384.4         2694.8          165.9
     21/05/2009         5438.3         2702.5          174.9
     22/05/2009         5487.0         2708.9          184.4
     23/05/2009         5539.2         2715.7          188.8
     24/05/2009         5607.5         2729.9          200.0
     25/05/2009         5668.5         2737.1          211.6
     26/05/2009         5701.7         2738.3          213.3
     27/05/2009         5737.9         2741.8          218.4
     28/05/2009         5794.9         2750.1          229.7
     29/05/2009         5862.2         2759.5          242.2
     30/05/2009         5937.2         2772.0          255.8
     31/05/2009         6007.7         2784.9          270.1
     01/06/2009         6069.5         2792.3          283.6
     02/06/2009         6124.7         2801.3          290.1
     03/06/2009         6201.6         2819.5          305.8
     04/06/2009         6278.6         2836.1          322.5
     05/06/2009         6360.0         2853.0          340.4
     06/06/2009         6399.5         2855.2          352.1
     07/06/2009         6463.1         2863.9          368.0
     08/06/2009         6518.6         2876.7          382.4
     09/06/2009         6579.1         2893.5          401.8
     10/06/2009         6636.0         2904.7          422.5
     11/06/2009         6707.7         2920.7          444.5
     12/06/2009         6760.8         2930.4          465.1
     13/06/2009         6820.1         2944.2          483.0
     14/06/2009         6884.7         2960.6          507.8
     15/06/2009         6935.3         2969.8          534.1
     16/06/2009         6951.7         2966.2          561.8
     17/06/2009         7035.1         2985.9          590.9
     18/06/2009         7103.4         3004.5          612.8
     19/06/2009         7157.0         3017.9          640.4
     20/06/2009         7237.6         3042.9          670.0
     21/06/2009         7301.0         3061.5          696.9
     22/06/2009         7379.7         3087.5          732.0
     23/06/2009         7434.0         3103.6          759.8
     24/06/2009         7507.1         3127.9          789.8
     25/06/2009         7585.5         3155.2          827.9
     26/06/2009         7649.6         3176.8          867.2
     27/06/2009         7725.1         3203.0          907.9
     28/06/2009         7816.4         3236.7          949.4
     29/06/2009         7901.4         3267.8          992.0
     30/06/2009         7974.5         3295.0         1035.1
     01/07/2009         8040.1         3318.0         1079.1
     02/07/2009         8116.8         3346.1         1124.1
     03/07/2009         8158.2         3359.5         1170.1
     04/07/2009         8112.9         3338.2         1211.9
